"assignment.id","worker.id","rule.id","gloss"
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0","3a","In any of the above word the letter S added to the end or the word becoming plural fits the rules given."
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0","zip-code","In order for the string to be a match there needs to be 5 numbers or letters exactly in the string, no more and no less."
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0","suffix-s","There needs to be a bracket at the beginning and at the end of either a sequence of words, letters or number for this string to be a match."
"31EUONYN2V3JPU8VGSL83X7LQLOOVK","738bff0","delimiters","It seems the string needs to be three letters of a's for it to match the string here. "
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8","3a","The string must be lower case and have at least three of the same letters"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8","zip-code","must be in brackets"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8","suffix-s","has to have s at the end"
"31UV0MXWNQCSVEIDC6QQF2H01ONI5C","dea6df8","delimiters","must be numbers"
"35L9RVQFCOI9KYX87PGDN2810S1UHD","f85822f","3a","The rule is that the string has to contain exactly five number, no more, no less."
"35L9RVQFCOI9KYX87PGDN2810S1UHD","f85822f","zip-code","The rule of this string is that it must start with a left square bracket ([) and end with a right square bracket. (]). The string can be as short or as long as needed."
"35L9RVQFCOI9KYX87PGDN2810S1UHD","f85822f","suffix-s","The rule of this string is that it must contain at least 3 letters. Only letters are allowed, and they must all be lowercase."
"35L9RVQFCOI9KYX87PGDN2810S1UHD","f85822f","delimiters","I don't know."
"382M9COHEHFX0O66HO872ZBO8C9UEX","5ad0368","3a","3 or more a's with nothing else. "
"382M9COHEHFX0O66HO872ZBO8C9UEX","5ad0368","zip-code","3 symbols encased in []"
"382M9COHEHFX0O66HO872ZBO8C9UEX","5ad0368","suffix-s","Animal plurals"
"382M9COHEHFX0O66HO872ZBO8C9UEX","5ad0368","delimiters","5 numbers"
"392CY0QWG1RAZVEDY17GAABM1SSI47","5e70ad4","3a","I don't know"
"392CY0QWG1RAZVEDY17GAABM1SSI47","5e70ad4","zip-code","The numbers imply a word."
"392CY0QWG1RAZVEDY17GAABM1SSI47","5e70ad4","suffix-s","Symbols with letters"
"392CY0QWG1RAZVEDY17GAABM1SSI47","5e70ad4","delimiters","Triple of lower-case of the first alphabets"
"39ASUFLU6X7PHS01MTJUM6AS2UQEX9","e544c33","3a","a combination of letters numbers or symbols"
"39ASUFLU6X7PHS01MTJUM6AS2UQEX9","e544c33","zip-code","brackets"
"39ASUFLU6X7PHS01MTJUM6AS2UQEX9","e544c33","suffix-s","dogs"
"39ASUFLU6X7PHS01MTJUM6AS2UQEX9","e544c33","delimiters","string with same letter"
"3BXQMRHWKZYVCCYJYMWQF7GXHE0MUE","eeb0e97","3a","The rule is that it needs brackets that close on either end."
"3BXQMRHWKZYVCCYJYMWQF7GXHE0MUE","eeb0e97","zip-code","At least three lower case a's in a row"
"3BXQMRHWKZYVCCYJYMWQF7GXHE0MUE","eeb0e97","suffix-s","Five different numbers eXACTLY"
"3BXQMRHWKZYVCCYJYMWQF7GXHE0MUE","eeb0e97","delimiters","I don't know"
"3C8HJ7UOP7UCYBST49VYWZVCJWFZMG","f7b0c89","3a","The string needs to have [ ] around it to fit"
"3C8HJ7UOP7UCYBST49VYWZVCJWFZMG","f7b0c89","zip-code","at least 3 repeating characters"
"3C8HJ7UOP7UCYBST49VYWZVCJWFZMG","f7b0c89","suffix-s","I don't know"
"3C8HJ7UOP7UCYBST49VYWZVCJWFZMG","f7b0c89","delimiters","I don't know"
"3LKC68YZ3A3W4J8062Q4PZQZXUQOWU","148a3e6","3a","I don't know"
"3LKC68YZ3A3W4J8062Q4PZQZXUQOWU","148a3e6","zip-code","No idea"
"3LKC68YZ3A3W4J8062Q4PZQZXUQOWU","148a3e6","suffix-s","No idea"
"3LKC68YZ3A3W4J8062Q4PZQZXUQOWU","148a3e6","delimiters","I dont know"
"3MHW492WW0DVPRNJ3C6VBTIGVL9MV3","ece7144","3a","It is a sequence of the same letters."
"3MHW492WW0DVPRNJ3C6VBTIGVL9MV3","ece7144","zip-code","I don't know."
"3MHW492WW0DVPRNJ3C6VBTIGVL9MV3","ece7144","suffix-s","Words that end with an ""s"""
"3MHW492WW0DVPRNJ3C6VBTIGVL9MV3","ece7144","delimiters","I don't know."
"3O6CYIULED1RHOSX2O2DO5IOFGEWUF","384e1dc","3a","I don't know"
"3O6CYIULED1RHOSX2O2DO5IOFGEWUF","384e1dc","zip-code","It needs brackets on both ends for it to be a string."
"3O6CYIULED1RHOSX2O2DO5IOFGEWUF","384e1dc","suffix-s","It needs at least 3 a's in a row."
"3O6CYIULED1RHOSX2O2DO5IOFGEWUF","384e1dc","delimiters","I don't know"
"3QY5DC2MXRKP6262CZSDKHWOKDOUFF","518f567","3a","A repetition of three similar characters. "
"3QY5DC2MXRKP6262CZSDKHWOKDOUFF","518f567","zip-code","Any set of characters within a bracket. "
"3QY5DC2MXRKP6262CZSDKHWOKDOUFF","518f567","suffix-s","The string must be completing a task described by an adverb. "
"3QY5DC2MXRKP6262CZSDKHWOKDOUFF","518f567","delimiters","Any set of continuous numerical characters."
"3TYCR1GOTCJSSTA84XUJWMGNJRPZLE","6b05630","3a","The string must be repetitions of a single lower case letter"
"3TYCR1GOTCJSSTA84XUJWMGNJRPZLE","6b05630","zip-code","I don't know"
"3TYCR1GOTCJSSTA84XUJWMGNJRPZLE","6b05630","suffix-s","The string must begin and end with a bracket."
"3TYCR1GOTCJSSTA84XUJWMGNJRPZLE","6b05630","delimiters","The string must be numbers."
"3VFJCI1K4ZZ34AAGJP3QXR9GETKRG7","79e7c4b","3a","It has 5 numbers"
"3VFJCI1K4ZZ34AAGJP3QXR9GETKRG7","79e7c4b","zip-code","it must end in s"
"3VFJCI1K4ZZ34AAGJP3QXR9GETKRG7","79e7c4b","suffix-s","it has to be in brackets"
"3VFJCI1K4ZZ34AAGJP3QXR9GETKRG7","79e7c4b","delimiters","it has to be aaa"
"3ZOTGHDK5IB3X2RRMXG3SANERHUOSF","43f7e4f","3a","Any sequence with only multiples of the letter a in a row."
"3ZOTGHDK5IB3X2RRMXG3SANERHUOSF","43f7e4f","zip-code","Any string of 5 numbers."
"3ZOTGHDK5IB3X2RRMXG3SANERHUOSF","43f7e4f","suffix-s","any string with brackets on it. "
"3ZOTGHDK5IB3X2RRMXG3SANERHUOSF","43f7e4f","delimiters","words ending in s"
"3ZSY5X72NXBRWNRE78GY20II5FBORR","f912ff6","3a","I think the rule is continuous matching letters "
"3ZSY5X72NXBRWNRE78GY20II5FBORR","f912ff6","zip-code","I dont know"
"3ZSY5X72NXBRWNRE78GY20II5FBORR","f912ff6","suffix-s","Things that are plural"
"3ZSY5X72NXBRWNRE78GY20II5FBORR","f912ff6","delimiters","Things inside brackets"
